# x,y,z,B_x_err,B_y_err,B_z_err
-5.474757279336166932e-02,-8.537261506262415478e-02,9.520633754862962636e-03,9.869797748770352541e+00,8.365922752389545280e+01,1.791538298485218306e+01
-5.514914422116785203e-02,-8.663202755150639645e-02,1.006618795720796294e-02,1.099573073172336812e+01,1.890164788034903065e+00,1.708776053017530927e+01
-8.037050903692058434e-02,-8.970251537656556695e-02,-4.694105928934840660e-02,6.758485708395838287e+01,3.546313233504682216e+02,1.058958706828445742e+02
-6.092667061754218627e-02,-9.773523719741761262e-02,-8.955454740028412353e-02,9.610285862466699314e+01,nan,1.547758454190496309e+02
-8.005011649536999951e-02,-9.315341999086107494e-02,-6.367137363636396485e-02,6.936379708348761142e+01,4.939501938719399732e+01,1.161719424004501207e+02
-8.070410942461309078e-02,-9.632201868569764680e-02,-5.834506014490407899e-02,7.972680797298099264e+01,nan,1.042901297047122284e+02
-7.892612503932150414e-02,-9.258139962610970053e-02,-5.351048453612083922e-02,6.894149416988737755e+01,9.716952528422798423e+03,1.030110948944936382e+02
-7.567259731196560035e-02,-9.365114328211526784e-02,-4.782116648147451132e-02,6.868744652180006938e+01,1.385968749567548457e+02,1.002900210847008253e+02
-7.318159142785363169e-02,-9.082601944299306673e-02,-6.025474532488261925e-02,6.864785296767813350e+01,6.898298813478313605e+02,1.217960412096867344e+02
-7.827213211007841287e-02,-8.941280093127310091e-02,-5.883679802758072508e-02,6.305059040384522717e+01,1.022818030692342063e+03,1.062650485463791625e+02
-7.495957581314521834e-02,-9.456663850258104076e-02,-6.508932093366585903e-02,8.098560441265387055e+01,5.517469281979516609e+02,1.147758679611925032e+02
-6.960238811084758226e-02,-9.773523719741761262e-02,-6.467550344924642702e-02,8.690304676846211862e+01,nan,1.134271826703027273e+02
-6.041785365124431595e-02,-9.094094878967046158e-02,-7.679906039490302927e-02,8.386518289413527327e+01,1.352814290562644601e+03,1.977148969751839331e+02
-6.996814319562141837e-02,-9.773523719741761262e-02,-7.262681466782987261e-02,8.654862777698923537e+01,nan,1.072497671609121568e+02
-6.470177437557281253e-02,-9.320571159225284064e-02,-8.037976431850273051e-02,8.183427658850503406e+01,1.312780332167978941e+02,1.554875916652181331e+02
-6.580420873234196777e-02,-9.320571159225284064e-02,-7.463850969999921703e-02,7.728855840625861617e+01,1.125465547048768826e+02,1.824510431692933992e+02
-6.092840499630490514e-02,-9.773523719741761262e-02,-8.167599305891699857e-02,9.038373003991627286e+01,nan,1.359237028181312041e+02
-5.664448427197642244e-02,-9.547047439483523357e-02,-7.809528913531729732e-02,9.697869902580289647e+01,5.888281025523348262e+02,1.727619579689254294e+02
-6.152028800801347119e-02,-9.094094878967044771e-02,-7.105780577639950191e-02,8.485699160549594922e+01,8.799394468393427815e+03,1.813365229491094794e+02
-5.188941313970704683e-02,-9.317241210389312633e-02,9.540111383480247981e-03,2.137380780196514252e+01,7.615016554449898933e+01,4.306544021010939360e+01
-5.250873556135277065e-02,-9.440202972298772366e-02,9.754662053892739979e-03,2.718341723648325114e+01,9.181334147089680187e+01,3.336307037767394945e+01
-5.409184270651266890e-02,-9.473518184493220917e-02,9.687575136949760912e-03,2.581977614979218316e+01,7.994726414301724482e+00,3.729200513456046195e+01
-5.502389122845220693e-02,-9.370055321944070759e-02,9.547393974122469693e-03,3.004917658483722676e+01,2.252504498265233579e+01,3.501005273812411644e+01
-5.224233224308293816e-02,-9.517879509498775037e-02,9.093862586102001433e-03,3.078926912017347206e+01,1.928637481673681009e+01,4.024453770482541159e+01
-5.647955527343516413e-02,-9.445928946420702188e-02,8.478161510575489557e-03,4.821223494276006960e+01,1.400641015266888587e+02,5.538775294447747655e+01
-5.615024919697848838e-02,-9.639171551479189248e-02,7.402379253331387715e-03,6.324157378629806914e+01,1.207402473826735871e+02,6.651916904064954394e+01
-5.442818183372570562e-02,-9.640974464202561878e-02,7.810812249087627571e-03,5.753361525339948201e+01,2.035452304617529080e+03,5.839368493636941082e+01
-5.382543938824282947e-02,-9.551194721693223588e-02,9.026775669159020632e-03,3.359300365679835210e+01,1.076439046304168841e+02,4.562917383548837336e+01
-5.499728859584034069e-02,-8.379414351898603619e-02,5.855870647021751280e-03,1.395573989759073186e+01,9.738205186473875230e+00,3.603049520295581942e+01
-5.268967197061098784e-02,-8.653796533866356389e-02,8.674444914156885511e-03,9.489677777890463517e+00,7.979753746129705227e+00,2.389393199253744271e+01
-5.377833034829659908e-02,-8.541340136677513795e-02,8.326816273052116413e-03,9.794584130222443008e+00,1.307155144953103409e+01,2.107288112563404070e+01
-5.474478294324248984e-02,-8.538532568030447745e-02,6.966658649662284611e-03,1.415243721791340192e+01,4.163228934011958415e+01,3.251652632589889436e+01
-5.151265982546286704e-02,-8.576797228119455163e-02,9.230634425425831430e-03,7.944925784624503606e+00,3.813156652144733982e+01,2.855792740443972022e+01
-5.260131820314847828e-02,-8.464340830930611181e-02,8.883005784321062331e-03,7.911198841780528568e+00,9.378631387253431484e+00,1.878239558851076296e+01
-5.376913193765631149e-02,-9.215320116931377536e-02,9.027220586695463775e-03,2.109485367119424737e+01,4.499143449101208603e+01,2.772219385391519708e+01
-5.221776099407104271e-02,-9.195821217571066575e-02,8.952851079110261262e-03,2.091759227055943882e+01,4.929725667346077245e+01,3.417241833249862282e+01
-5.133716997625248357e-02,-8.968429051869566959e-02,9.642977093826363838e-03,1.132049589005727164e+01,8.322329212853910008e+01,2.998325748131503232e+01
-5.407818966140658795e-02,-8.975256179457639927e-02,9.162152596420959291e-03,1.480281869230638669e+01,9.448751787070625241e+00,2.656785065671152068e+01
-5.434610552225834640e-02,-9.081373380886204050e-02,8.257947868895564730e-03,2.369241446200603107e+01,1.721512692411394374e+00,3.468081155165835838e+01
-5.194984513321927733e-02,-9.089704016142502452e-02,9.857055806635657558e-03,1.372209669135312815e+01,8.219341229680694472e-01,2.484018931883072767e+01
-5.253346598250024230e-02,-8.867664335224516303e-02,9.088255046438956791e-03,1.219110610472080403e+01,3.819511811837194681e+00,2.469462454687398889e+01
-5.350121607680455305e-02,-9.109202915502812026e-02,9.931425314220858336e-03,1.408256188804671183e+01,1.796475538933220406e+01,2.231665967975367337e+01
-5.579448926269204440e-02,-9.594585615930507905e-02,5.769716530930852488e-03,6.261211367722920329e+01,2.346089487789109853e+02,6.793711398788025235e+01
-5.380601858116944303e-02,-9.584285323344543528e-02,5.517350058896370278e-03,6.107445676720837469e+01,4.199377495311912867e+01,7.246829386407324591e+01
-5.288955219395536506e-02,-9.620908872953874702e-02,6.767265082816350738e-03,5.392913804842739012e+01,1.144840459754655484e+02,6.493927911064271541e+01
-5.331074584001467553e-02,-9.747507349443990110e-02,4.473965365399281899e-03,7.486262649035057848e+01,5.495459764787245405e+01,6.786988948803460175e+01
-5.234253241864916112e-02,-9.942364666753934765e-02,8.404801494026390915e-03,7.993121350141565529e+01,nan,6.926054439521243467e+01
-5.209294207312156755e-02,-9.886013846871992417e-02,5.337932299421447799e-03,8.530753807881752948e+01,nan,8.347941897940852130e+01
-5.207612910037932863e-02,-9.840481718935262245e-02,7.744002026235651502e-03,5.903840398703516001e+01,7.827297717411938720e+02,8.301928600988753715e+01
-5.205389563515474410e-02,-9.784130899053319896e-02,6.624722252653191326e-03,6.349537328742544418e+01,9.554924994585289255e+01,9.147907765036792682e+01
-5.080332110941047918e-02,-9.942364666753933378e-02,9.425014495831759986e-03,7.413270074297862777e+01,nan,7.478581733059985481e+01
