# x,y,z,B_x_err,B_y_err,B_z_err
-5.469261144322933033e-02,-9.590133781907657362e-02,1.162839437809010112e-02,3.318679148129315593e+01,9.982780122809797376e+02,3.807458030913364411e+01
-5.517703603387401345e-02,-9.378899084707831291e-02,1.094049132397855589e-02,2.949420617153126400e+01,1.389972248041782343e+01,3.469178937706357146e+01
-5.424498751193446849e-02,-9.482361947256981449e-02,1.108067248680584538e-02,2.665421592501548176e+01,5.134023317467037373e+01,3.818631655478593245e+01
-5.579225143967220940e-02,-9.565410333845764113e-02,1.231489246401503562e-02,4.015230053148074063e+01,3.876919999446607079e+01,3.360061270004867140e+01
-5.532439529608733364e-02,-9.531129265265977923e-02,1.376227664478075173e-02,2.599197394947024264e+01,2.031304962170239889e+02,3.239234708522888440e+01
-5.383322450631878447e-02,-7.676566460352134136e-02,1.133173638328192727e-02,2.574788365487750141e+00,5.175998565871783974e+00,1.092654153879668577e+01
-5.471862023575169848e-02,-7.571149050923957347e-02,1.095019208347047801e-02,3.380575631607380060e+00,3.308616197291127214e+00,1.302014255508750651e+01
-5.368218091537958758e-02,-6.605709339618306974e-02,9.753909496950827554e-03,1.148886154826871842e+00,2.252083451743862152e+00,1.215999338872295255e+01
-5.359622754274247919e-02,-6.949881201591984192e-02,1.003663274511356132e-02,1.383822333905075697e+00,3.375492193578293332e+00,1.183373441673559334e+01
-5.430714243589214452e-02,-6.836811901281934778e-02,9.799800166481052038e-03,1.573200281272094658e+00,8.652474491336908935e-01,1.309811448431653069e+01
-5.380199576147314672e-02,-6.725702930891173936e-02,9.189727585537680807e-03,1.621668779120956305e+00,4.852191307345122162e+00,1.450475079298640146e+01
-5.411098037638381597e-02,-7.313622179193170203e-02,1.094991703793291027e-02,2.218526407556219660e+00,1.407538908800755628e+01,1.194034520634497731e+01
-5.452108951381643559e-02,-7.427968424057759811e-02,1.141669539945699106e-02,2.652442045429508788e+00,7.773019467763985446e+00,1.043343008987689124e+01
-5.476928923060253585e-02,-7.196021034829744312e-02,1.068090006067427822e-02,2.529934677342484228e+00,2.594946288445370453e+00,1.261780350724055033e+01
-5.424385067229189894e-02,-7.792579334109550615e-02,1.179953451994751948e-02,3.258023441447935653e+00,1.981480628541975477e+02,9.656904452351097845e+00
-5.463365545033856824e-02,-7.895552340897010746e-02,1.085623057284434458e-02,4.662400175376380851e+00,3.513033006791449697e+00,1.167690146625432668e+01
-5.540471755702129630e-02,-8.505759824908019906e-02,1.259240683583705799e-02,7.108482500696793771e+00,4.562946541281790473e+02,1.100499521442291950e+01
-5.585720052337782987e-02,-8.359226392830232388e-02,1.248510800762219104e-02,7.441608025452516983e+00,6.865214345425830089e+00,1.134170105569442555e+01
-5.552281256125909947e-02,-8.343980922166896463e-02,1.362731963254022044e-02,6.268205651790927035e+00,6.798139237275198532e+00,1.143064018758581035e+01
