# x,y,z,B_x_err,B_y_err,B_z_err
-5.495663333470000161e-02,-8.159087890097499463e-02,1.019115753737499970e-02,4.103208514954915231e-01,2.563972969397940460e+01,1.941247124741236618e-01
-5.156327191884999689e-02,-7.826172811497500437e-02,9.832663526675000654e-03,8.762302363637219926e-02,2.565572495434705336e-01,4.404818021990143662e-02
-5.146384321087500019e-02,-9.623466202347499832e-02,9.795748151622499234e-03,4.485269689705845053e+00,6.033272053367369381e+00,1.259142633328429639e+01
-5.269404850257500272e-02,-8.388185944119999626e-02,1.009504107333500031e-02,2.090974743691534077e-01,1.181497186269543920e-01,6.001325661265925759e-02
-5.155103153045000053e-02,-7.551754074145000661e-02,9.831744948014999735e-03,6.334932078644238407e-02,2.257811875082485487e-01,4.193077001208248000e-02
-7.532533089787500635e-02,-9.456663850254999615e-02,-7.304063215222500460e-02,3.918340621811307045e-01,3.194459531813587105e+00,4.383905917751580894e+00
-7.116139643457500275e-02,-9.003711289737499623e-02,-7.505232718437500339e-02,1.188214226521002725e+00,3.395779149847179657e+00,2.113211939117779492e-01
-5.557612504804999853e-02,-9.906079438119999581e-02,9.072228910727500248e-03,1.498298908798004625e+01,5.109808541199506493e+01,1.329205140274158126e+01
-5.442666929110000218e-02,-9.816299695609999321e-02,9.375816444397500060e-03,3.505019538567015047e+01,5.891063038313882316e+01,1.427416373234414770e+01
-5.291027311654999954e-02,-9.852584924242499542e-02,9.451549051707499455e-03,2.285188567181145913e+01,1.269520401739378741e+02,4.175926521378439560e+01
-5.264386979827499757e-02,-9.750701976422500306e-02,8.790749583917499901e-03,4.170557492936231903e+00,1.031882195433671079e+01,3.333397861444544219e+01
-5.416026597282500021e-02,-9.714416747790000084e-02,8.715016976607500507e-03,6.184808109345134142e+00,4.375988917730192185e+01,1.877832546142774284e+00
-5.703178909302499683e-02,-9.802393577577500627e-02,8.002996447179999695e-03,1.580894803803158943e+01,9.571249192554452634e+01,1.609939196086513391e+01
-5.771097386252500155e-02,-9.896314139457500214e-02,6.842652304665000108e-03,1.451768707325951269e+01,1.278092334494715345e+02,2.359745545834852720e+01
-5.963297731060000079e-02,-9.896314139457500214e-02,7.724439109164999567e-03,1.458014783774271805e+01,2.840082696143465313e+00,1.618190624681322021e+01
-8.319713635269999907e-02,-8.157730574677500568e-02,-5.364779935669999889e-02,7.190754573970862262e-01,2.117436072255479829e+01,3.081863284798516123e+00
-8.981847588725000442e-02,-9.237339078012500593e-02,-5.495030353270000112e-02,2.562218900755818929e+00,1.131936089490268138e+01,1.085947982560478975e+00
-9.291569544877499587e-02,-9.605137209444999935e-02,-4.984633322242500164e-02,4.103723553136079616e+00,1.429640718562935042e+01,1.538120537010286348e+01
-8.849924071105000345e-02,-9.632201868567499825e-02,-5.982756938187500095e-02,1.868295997998121738e+00,2.760526977059255316e+00,5.477671730761023383e+01
-8.362403676422500154e-02,-8.863277172052499986e-02,-5.263037734392499861e-02,2.028680261824726383e+00,1.704900094194478299e+01,5.746068049095374164e-01
-5.278240227002500146e-02,-8.757201132075000116e-02,9.886480203169999495e-03,4.650030073496809746e-01,5.188826503744916607e+00,1.953342460842095452e-01
-5.427263207552499719e-02,-8.770685983775000638e-02,1.008440576440999999e-02,4.214837989007788610e-01,1.319206893828072680e+01,1.257623106564224880e-01
-5.520468059744999823e-02,-8.936562348752499774e-02,9.944224601582500600e-03,3.428671621801024361e-01,1.862024451312244011e+01,5.765933111707857162e-01
-5.474757279332499726e-02,-8.537261506257499966e-02,9.520633754857499992e-03,2.876148825085778071e-01,6.038200935247731493e+00,3.360952898089372698e-01
-5.514914422112499742e-02,-8.663202755147500489e-02,1.006618795720299990e-02,9.879477635225168697e-02,1.314087488521288316e+00,3.993400426439100426e-01
-8.037050903687499581e-02,-8.970251537654999607e-02,-4.694105928927500004e-02,1.995615271416597114e+00,7.030324101510755597e+00,1.246677514998714820e+00
-6.092667061749999780e-02,-9.773523719740000171e-02,-8.955454740024999805e-02,1.286319559720299033e+01,5.410623820402230777e+00,3.842329072375299859e+00
-8.005011649532499385e-02,-9.315341999082500657e-02,-6.367137363632499603e-02,1.211557109102649799e+00,2.205326676628935612e-01,4.173431669565750290e+00
-8.070410942457499626e-02,-9.632201868567499825e-02,-5.834506014484999725e-02,1.156997319892844933e+00,1.976448011166280327e+00,5.408782374588652075e+00
-7.892612503927499967e-02,-9.258139962607500606e-02,-5.351048453605000005e-02,5.577084208195129955e-01,3.195627724479453313e+00,8.147383133101529396e+00
-7.567259731192499395e-02,-9.365114328210000227e-02,-4.782116648140000148e-02,2.438754760230620877e-01,2.109189092424266776e-01,6.305726295250543245e+01
-7.318159142779999404e-02,-9.082601944295000396e-02,-6.025474532482499868e-02,1.051103481089222136e+00,7.607261050535907287e-01,2.921038539294804171e+00
-7.827213211002499726e-02,-8.941280093122500050e-02,-5.883679802752499882e-02,1.918452659699615648e+00,2.525608569063676700e+00,3.242214049527309516e+00
-7.495957581310000450e-02,-9.456663850254999615e-02,-6.508932093362500282e-02,2.806769957902573442e-01,2.830505528675166360e+00,3.253314141097406686e+00
-6.960238811079999532e-02,-9.773523719740000171e-02,-6.467550344920000582e-02,2.448834295815588646e+00,1.014304223351135237e+00,8.668486771453658424e-01
-6.041785365117500334e-02,-9.094094878962499795e-02,-7.679906039485000224e-02,9.364714765617737635e-02,2.287946609960819000e+00,3.545607462691032552e+00
-6.996814319557499717e-02,-9.773523719740000171e-02,-7.262681466779999373e-02,9.788920753237723149e-01,3.594180256532210738e+00,1.769666232961304431e+00
-6.470177437549999577e-02,-9.320571159222500179e-02,-8.037976431844999492e-02,8.629650654384217745e-01,1.344613249197117999e-01,3.417382002034623945e+00
-6.580420873227499357e-02,-9.320571159222500179e-02,-7.463850969995000639e-02,7.060416517966341399e-01,1.306226371417785526e+00,3.218750750681271255e-01
-6.092840499624999767e-02,-9.773523719740000171e-02,-8.167599305887500438e-02,3.181272310928613845e+00,8.981833510971370949e-01,3.756217227494726973e+00
-5.664448427192499830e-02,-9.547047439479999786e-02,-7.809528913527499783e-02,2.772253373827169654e+01,1.235317622570429430e+00,1.001922892637875595e+00
-6.152028800795000113e-02,-9.094094878962499795e-02,-7.105780577634999984e-02,6.266764937648246381e+00,3.517460674938914234e-01,4.376259203693209976e+00
-5.188941313967500302e-02,-9.317241210384999417e-02,9.540111383475000442e-03,1.371949774354707330e+00,8.154925038701058781e+01,2.281511783901990498e+00
-5.250873556132500120e-02,-9.440202972295000383e-02,9.754662053887499379e-03,1.250017303479366015e+00,2.543180620721949836e+01,3.548515377712536001e+00
-5.409184270647499765e-02,-9.473518184489999883e-02,9.687575136945000831e-03,2.610609944399421956e+00,1.660528490291059711e+01,3.434066690860630544e+00
-5.502389122839999869e-02,-9.370055321940000403e-02,9.547393974117499710e-03,9.549069843551771797e-01,3.135429708246148195e+01,9.905522722207881214e-01
-5.224233224304999923e-02,-9.517879509495000279e-02,9.093862586097499826e-03,3.993822661498190651e+00,4.717388189502357498e+00,2.585159961810806983e+00
-5.647955527337499698e-02,-9.445928946417500582e-02,8.478161510569999157e-03,4.626513612973778500e+00,4.375072428417997372e+01,2.257210912736969277e+00
