# x,y,z,J_x_err,J_y_err,J_z_err
-4.821100337162301241e-02,-9.857776923515612633e-02,1.397797682998261695e-02,6.073658414054214063e+02,1.040096582170224826e+00,3.153208468388707502e+02
-4.791067126440413937e-02,-9.674516302288344027e-02,1.312990049872376358e-02,9.428990342245231204e+01,1.530692002200718937e-01,2.210188983519532968e+01
-4.706605568750508312e-02,-9.800839788697736366e-02,1.424325557079596759e-02,7.980468181205496592e+01,1.033910775455543885e+00,2.971678599245498731e+02
-5.012959802886046007e-02,-9.717228535774699583e-02,1.491084762480078714e-02,1.103539349490156241e+01,1.407579939055023655e+00,6.036693942484380671e+01
-5.221457688088330940e-02,-9.908193810025534010e-02,1.606534607524233438e-02,7.879522898325874023e+12,6.685641471036173344e-01,1.100518575599561133e+13
-5.125161266656934334e-02,-9.814612137772142642e-02,1.482256623449725551e-02,6.415199964112252928e+03,1.061683333315717181e+00,5.459705714117903881e+03
-5.349419521652749171e-02,-9.778345171515043233e-02,1.466330600166460343e-02,1.142588433350640287e+02,8.592006647211131165e-01,2.760394949481392928e+02
-5.232943218511954681e-02,-9.742824487404144751e-02,1.392781490080310589e-02,8.409603686792810606e+01,1.069894314756023590e+00,8.503340879676598263e+01
-5.337458741617875230e-02,-9.850132821883042511e-02,1.585265216254155840e-02,5.630205349454423214e+01,4.473326285451739159e-01,2.855864011979326165e+02
-5.385048507615167179e-02,-9.760102114187500788e-02,1.668942518217405788e-02,2.345125813143259208e+01,1.200609660204711604e+00,2.479014752162869328e+01
-5.310501989326062849e-02,-9.748813897520668126e-02,1.764262288997319947e-02,7.532720558653149112e+01,1.200609660213119545e+00,3.467324436470717330e+01
-5.214680817505917138e-02,-9.838844605216209849e-02,1.734802806279039586e-02,1.369919659270531838e+03,2.763206653469581497e-01,1.029609092186379229e+02
-5.406043580485137001e-02,-9.631900483728392248e-02,1.612168954146837863e-02,1.489077622814079973e+02,7.179665162391851707e-01,1.049090651472052116e+01
-5.418004360520010942e-02,-9.650143541055936081e-02,1.493234338059142192e-02,1.456975110846671271e+02,6.896349320119221638e-01,1.306639344260689768e+03
-5.385863698775739117e-02,-9.509900056479801689e-02,1.662897828135195821e-02,4.442648293455108046e+02,1.261776450110857206e-01,2.544283266968843407e+02
-5.407128932343357314e-02,-9.553826265862741529e-02,1.419145669064448591e-02,1.350998988673512713e+02,9.601347872999091426e-02,4.669399742483533799e+01
-5.305184035663078335e-02,-9.590472671533588345e-02,1.240073435881641935e-02,9.262692259319165089e+01,1.469978255910402709e-01,8.814890798999732624e+02
-5.289837438041990886e-02,-9.588446224068458701e-02,1.351641249060508629e-02,8.123828609590981387e+01,1.019302777672741328e-01,8.356188743971009103e+01
-4.989918164549941859e-02,-9.650386070779545800e-02,1.083410056408410857e-02,1.360179394164260032e+02,7.750884821943008207e-01,1.484984335464915546e+02
-5.109529844581809505e-02,-9.631767477917435594e-02,1.095083583083526248e-02,7.806866794086051868e+02,7.861399881088113606e-01,1.743445464679500105e+02
-5.260421642533592151e-02,-9.482700836882911044e-02,1.185301246753216360e-02,2.273739145365258025e+02,4.398738969739323101e-01,1.597400602309824762e+03
-5.160587161713315468e-02,-9.509843326144828968e-02,1.115315499283426465e-02,3.875400285779919614e+02,4.398738969707441382e-01,4.750532857455560247e+02
-4.996182183091812945e-02,-9.705721953007086233e-02,1.606569612810301861e-02,2.534742605373201485e+01,1.378552988838693150e+00,1.243008112120969884e+02
-4.805871994422054178e-02,-9.707571880522342100e-02,1.667264955952264122e-02,1.874980433763500116e+02,1.184907358013503886e+00,1.895071902401064676e+02
-4.907587971995851922e-02,-9.747798151307668357e-02,1.829364922953155906e-02,1.008114253275108041e+01,1.107491061961179302e+00,9.708892763715468277e+01
-5.026928140632266895e-02,-9.768405208957554875e-02,1.841154206650099517e-02,1.959662574297653492e+01,1.116590480318970791e+00,1.106670662526962303e+02
-5.101606776280287470e-02,-9.733756350195206519e-02,1.726009672534754499e-02,1.199577771942252014e+02,1.327733758890666804e+00,1.287949723678179055e+02
-4.869842052370089436e-02,-9.804955482519783772e-02,1.712654636166880545e-02,3.140871199415767592e+02,1.174380368201296765e+00,1.159375648366627729e+02
-4.750497834703711758e-02,-9.555911786198242885e-02,1.714603624510177907e-02,2.274058859378650084e+02,4.107879829859202303e-01,1.949342714173465083e+02
-4.883757627818029884e-02,-9.797528142981551391e-02,1.605003860139371519e-02,5.464926722950095609e+03,1.182649830354563170e+00,1.917467213487391973e+03
-5.261803538425417759e-02,-9.595427248017748822e-02,1.806275995628760234e-02,8.635120814781186027e+01,2.822009516798562601e-01,1.273183670198846045e+02
-5.148729497199788091e-02,-9.580369700692285828e-02,1.797482861884475494e-02,2.979330814786879245e+01,2.736194668921960726e-01,1.204369454626140623e+02
-5.316170175005124898e-02,-9.484715037435988150e-02,1.761685098837204380e-02,1.279751423122175538e+03,1.261776450142955142e-01,1.609312294731201405e+02
-5.080289742438712230e-02,-9.545694701874705979e-02,1.913456067065980037e-02,5.348632219500823481e+01,2.874588701259459533e-01,3.140177830309012847e+02
-5.006161346975637749e-02,-9.641924020165508480e-02,1.924447902512630565e-02,6.998563456522448405e+02,3.054299154504412361e-01,1.265806572849955387e+02
-4.886821178339222776e-02,-9.621316962515621962e-02,1.912658618815686953e-02,2.273921752043637298e+03,2.481915197133918172e-01,9.402156016439435859e+01
-4.835941219486820930e-02,-9.498561768809318795e-02,1.892454689832208381e-02,2.167459842756558714e+02,3.732978816023883040e-01,8.544990115931168475e+02
-4.736582259255771310e-02,-9.473382863277267363e-02,1.822254400537686933e-02,1.328886824849013522e+02,3.732978815979963172e-01,5.135885598521775137e+03
-4.792350340633940581e-02,-9.565886007539128877e-02,1.258985864228928143e-02,1.068119848532337244e+02,7.273110993298362303e-02,2.916651765110387018e+01
-4.915706668298840815e-02,-9.554551634789455739e-02,1.094556596939255839e-02,8.615338706733725260e+00,4.798327369354944000e-02,7.176739121035242874e+01
-4.799728277275640970e-02,-9.592108459889345240e-02,1.148454695270588639e-02,4.216358088357342785e+04,5.332591306942486425e-02,2.584238269673773658e+01
-4.738787841501990172e-02,-9.457229602808615854e-02,1.620689118804196499e-02,7.034749396133754828e+01,6.370161705564740540e-02,9.661739676906115903e+01
-4.624373838696568123e-02,-9.436260752454304901e-02,1.545211036003731053e-02,2.519023966431609551e+02,5.317413999060157520e-02,5.096177478244534598e+01
-4.724872266054050418e-02,-9.374700679887638943e-02,1.728339894831705525e-02,5.764097012396413078e+01,2.856449104397721858e-02,6.905009706478573150e+01
-4.612720726200770366e-02,-9.507522445705604563e-02,1.340879620522353322e-02,2.206874304770987578e+02,1.273905262574253662e-02,1.558032185119467528e+01
-4.633812346093661022e-02,-9.408562948830645478e-02,1.420671920032492985e-02,1.093768624016497142e+03,6.799990948972216287e-02,3.524849597942202877e+02
-4.682138343754604221e-02,-9.480109781844760219e-02,1.242358656181927375e-02,1.690776258391069575e+02,1.273905262575529378e-02,3.849098665558355492e+01
-4.565756856598075786e-02,-9.292311877889390670e-02,1.414983526573109461e-02,1.224892337663588826e+01,6.044652523309964123e-03,1.337439777889001334e+03
-4.556318349200982887e-02,-9.320009681513051480e-02,1.539522642544347703e-02,7.623284766754169084e+01,1.058490291416987021e-02,5.561939925618511893e+01
-4.621895403664693508e-02,-9.238277115292581332e-02,1.720549771837182745e-02,2.985367162023043974e+01,6.906295452175501004e-02,6.671161797039906105e+01
-4.567755489617048720e-02,-9.204554967272302046e-02,1.607210602350290021e-02,6.177160211647836974e+01,6.902922975472279565e-02,2.164521540546615199e+02
-5.005459738618651955e-02,-9.564209356944808338e-02,1.449952435631697394e-02,6.602324676436603477e+04,1.190813396149418973e-01,2.071317342744449377e+02
-5.174555421919576487e-02,-9.507214695606563959e-02,1.399984055581542097e-02,9.947520974887714829e+01,2.168615335121539811e-01,1.065772086333290929e+02
-5.090067538720387252e-02,-9.446603889824273237e-02,1.218430494932885508e-02,4.342392028373913035e+02,2.471851241986907921e-01,8.863185277318325461e+02
