a_field_0,a_field_1,a_field_2,x_0,x_1,x_2
-182291768275.54,-2905695018839.9,571864279555.29,-0.05380199576145,-0.067257029308875,0.0091897275855325
320486824522,-4238512250826.4,787046803795.4,-0.05411098037635,-0.073136221791875,0.010949917037928
103882381432.61,-4610744795880.6,1137129778092.2,-0.054521089513775,-0.0742796842405,0.011416695399452
-138008118322.22,-3635088763919.8,678432329891.91,-0.054769289230575,-0.07196021034825,0.01068090006067
624416843306.08,-6061875597324.1,1612567159719.4,-0.05424385067225,-0.077925793341025,0.011799534519942
627456400571.08,-6048109816417.3,1622954796464,-0.0546336554503,-0.0789555234089,0.010856230572838
4954653253902.6,-11631662505933,1486282225646.8,-0.055404717556975,-0.085057598249025,0.012592406835833
1479595142676.6,-8407893071222.5,1888191506000.9,-0.055857200523325,-0.08359226392825,0.012485108007618
1211900254660.8,-8821672311089.3,829576819706.73,-0.0555228125612,-0.083439809221625,0.013627319632535
4008871047541.9,-11631463767621,152165153621.58,-0.05507032959485,-0.0849051435424,0.01373461846075
635144064980.72,-6015598951310.9,1584288464435.4,-0.054198066157925,-0.07826691979695,0.009779668795675
767664076887.7,-6138517509326.5,1663707194236.2,-0.055797893988875,-0.078124317704525,0.0088266176245175
420836761449.16,-4604102307520.8,2036227243615.7,-0.055883375802825,-0.076692545943925,0.008921598910285
-55408601192.918,-5039412264770.8,1331083572661.9,-0.054283547971875,-0.07593735061125,0.0098746500814425
714811141928.51,-5655391890458.7,1839781764476.6,-0.05339815224245,-0.076991524705525,0.010256194381255
-407872774313.22,-5655391890472.1,1793744684334.5,-0.05216813572965,-0.07678445299025,0.010046142083382
2820091650840.3,-10486684060707,2494059781521.9,-0.054580854551075,-0.084297352478075,0.010756972970975
1078843900663.2,-8618056238470,2464691044838.4,-0.055443486907175,-0.083110503553975,0.011116531814065
1499013264980.6,-8206407207168.3,2870465736392.9,-0.054501617706825,-0.0813981962168,0.012164255111853
1212099096240.5,-7419233278258.3,1549304378143.2,-0.05489127627995,-0.0805993341277,0.011220663027955
1303013204110.1,-7324372792053,1500247079555.2,-0.05402864392385,-0.0799905882016,0.010861104184865
2698364315175.1,-10578418356954,2508739987549.4,-0.053704342405475,-0.083576589914175,0.010775190778183
1221712118757.5,-8507516883324.9,2447245057031.8,-0.054566974761575,-0.082389740990075,0.011134749621273
1287146203840.2,-7257789716077,1599567526883.7,-0.0549566333347,-0.081590878900975,0.010191157537375
-102210573679.75,-6627039934783.9,1125905255439.5,-0.05156327191885,-0.078261728114975,0.009832663526675
15666530825729,-63210621323488,33444008586592,-0.051463843210875,-0.096234662023475,0.0097957481516225
544585343458.73,-10578418356953,4333823181736.8,-0.052694048502575,-0.0838818594412,0.010095041073335
47558260400.972,-4930214245616.3,1250725233772.6,-0.05155103153045,-0.07551754074145,0.009831744948015
-178857291966.99,-60962830239.697,302309857299.7,-0.075325330897875,-0.09456663850255,-0.073040632152225
-191626136367.48,-92622861429.721,318761858730.28,-0.071161396434575,-0.090037112897375,-0.075052327184375
84087520231591,-23975951214208,59754475976942,-0.05557612504805,-0.0990607943812,0.0090722289107275
12975649331114,-89696129245158,95004009195886,-0.0544266692911,-0.0981629969561,0.0093758164443975
21676564045118,-89696129245169,90691041777608,-0.05291027311655,-0.098525849242425,0.0094515490517075
35985872362761,-38895055609417,46089452868237,-0.052643869798275,-0.097507019764225,0.0087907495839175
29275048786366,-32349239816267,44582895746183,-0.054160265972825,-0.0971441674779,0.0087150169766075
14839713403106,-12257696978299,18259848216825,-0.057031789093025,-0.098023935775775,0.00800299644718
20534031604812,-8056410952474.8,21671994029799,-0.057710973862525,-0.098963141394575,0.006842652304665
25305668530634,-8310091423736.3,19420107435231,-0.0596329773106,-0.098963141394575,0.007724439109165
-119838221225.88,-197076925473.99,544981817770.55,-0.0831971363527,-0.081577305746775,-0.0536477993567
1928253605.6165,-92931343874.825,533554428572.26,-0.08981847588725,-0.092373390780125,-0.0549503035327
-109720876607,-100787300045.5,693047993937.09,-0.092915695448775,-0.09605137209445,-0.049846333222425
-14045025241.338,-78835250007.685,556372655537.86,-0.08849924071105,-0.096322018685675,-0.059827569381875
-114706562347.77,-118906993709.45,536404610555.25,-0.083624036764225,-0.088632771720525,-0.052630377343925
921835449714.48,-15222649475051,8104419023765.9,-0.052782402270025,-0.08757201132075,0.00988648020317
5153298192683.7,-15222649475034,4930717200701.4,-0.054272632075525,-0.08770685983775,0.01008440576441
5143614941633.1,-15271705785645,4909814707817.9,-0.05520468059745,-0.089365623487525,0.0099442246015825
2985938291949.3,-9591151954335.9,3217187803514.6,-0.054747572793325,-0.085372615062575,0.0095206337548575
2473090084363.8,-11946974701580,4998682652981.1,-0.055149144221125,-0.086632027551475,0.010066187957203
-107640202192.52,-81477027796.423,866698016248.22,-0.080370509036875,-0.08970251537655,-0.046941059289275
-314974016463.02,-25743780747.1,65703169102.532,-0.0609266706175,-0.0977352371974,-0.08955454740025
-125012879220.68,-63672608230.798,472512216084.59,-0.080050116495325,-0.093153419990825,-0.063671373636325
-205859984356.43,-137462097553.34,540849813262.01,-0.080704109424575,-0.096322018685675,-0.05834506014485
-179408350519.47,-70471091703.638,617827942108.39,-0.078926125039275,-0.092581399626075,-0.05351048453605
-95034041710.279,-89335188700.36,863369539080.6,-0.075672597311925,-0.0936511432821,-0.0478211664814
-259038807735.28,-90782609853.24,556345789404.51,-0.0731815914278,-0.09082601944295,-0.060254745324825
-79215112657.196,1481247234.8533,487943110541.04,-0.078272132110025,-0.089412800931225,-0.058836798027525
-257622059134.69,-53542673348.408,584602719554.44,-0.0749595758131,-0.09456663850255,-0.065089320933625
-259732387058.55,-50810440058.19,586386515513.37,-0.0696023881108,-0.0977352371974,-0.0646755034492
-378050766402.26,-109525684534.54,239471569202.16,-0.060417853651175,-0.090940948789625,-0.07679906039485
-236620484160.67,54517790030.684,258296390726.27,-0.069968143195575,-0.0977352371974,-0.0726268146678
-204827590476.65,-55281424866.215,239509702417,-0.0647017743755,-0.093205711592225,-0.08037976431845
