b_field_0,b_field_1,b_field_2,x_0,x_1,x_2
1142.3807100073,61.433947950147,458.72160810164,-0.0967036999654,-0.0191507413162,-0.0875703911515
2309.8411151262,-34.372768662175,350.0211359853,-0.0967036999654,-0.018694782994725,-0.079266021106
1021.8910945585,-226.97439494382,836.01071630302,-0.0884264658994,-0.024268160267325,-0.092615841663075
1057.6278167495,-253.92735680467,865.38112917463,-0.092756592918325,-0.024174196319225,-0.088480919159175
2547.5791555334,144.17570966986,785.62558587418,-0.0888751296025,-0.037652963972175,-0.070383565647675
2721.5461150513,67.918275673728,583.02942623484,-0.095071182961675,-0.028569982663525,-0.072340011249475
2371.9635323588,334.27633603592,797.07368721054,-0.091774882927075,-0.02318218336865,-0.07639816486015
2190.381819864,-206.72637974683,653.73001007842,-0.0927722259319,-0.03424329563545,-0.075195705478375
1921.1233782407,-0.77517234942138,745.42296944689,-0.08782777588,-0.02616159669315,-0.0812829358944
1997.7882898351,-30.218770092909,541.4148116471,-0.088825118884825,-0.0321342460793,-0.079798819403475
2121.2774718554,279.92517879802,1659.6187156693,-0.081235175810825,-0.02474497116985,-0.0818188667659
906.37318813647,-85.613521170724,1631.8477839968,-0.081833865830225,-0.025257570795925,-0.089016850030675
32.588266213576,231.21184552435,1830.9478843738,-0.048579627085025,-0.074413478758825,-0.097070392151825
948.02768586674,-31.000590307393,2162.9913269692,-0.07616727527285,-0.029497703611075,-0.089659014419125
2000.9295925596,205.30248810218,2192.096076,-0.07556858525345,-0.028985103985,-0.08246103115435
457.92728724638,-207.20379886003,1934.2570763447,-0.0737723820844,-0.036762907186825,-0.093802966365925
729.07721883767,18.713507731099,1894.3194856514,-0.078161961282475,-0.0343104978242,-0.090383367354675
2207.6715024342,96.295402525003,38.831515464583,-0.096902780438475,-0.075556747178925,-0.0501470119598
2172.4263620392,159.48978308854,265.37624095277,-0.09248879503725,-0.0726579179567,-0.050778690293675
2257.95079763,432.30866381103,234.87122764448,-0.087780972901925,-0.07544274455895,-0.0452022421592
3159.7721181069,188.25956598693,242.73257190179,-0.0957572893875,-0.060800802808575,-0.050717381051875
2775.8436345092,25.189486253137,425.53827666809,-0.091343303986275,-0.066554064987725,-0.051413980524975
40564.337959458,-4581.8127091592,-34638.631443721,-0.05426409055285,-0.0649688020516,0.00950755966994
34324.188406483,-9094.4299969978,-36812.071927269,-0.054464532305075,-0.06497978306895,0.01075371319812
45086.527165406,1267.9407635809,-34887.92082721,-0.053882622667575,-0.0660680744135,0.011000063025125
39534.668618656,636.91048457001,-39179.714887034,-0.05387413008925,-0.069396544464225,0.011043814900328
31545.363763444,-4952.6992632276,-35746.245504187,-0.0545850449824,-0.068265851461125,0.010806982321695
31578.753994323,2038.7559405362,-44671.402439294,-0.054281610893775,-0.070520863103225,0.011505444604288
31650.722210559,812.86388276176,-45821.110259255,-0.0542803400602,-0.067165742774575,0.01144306326893
31210.65719115,2314.2472152882,-48202.464393076,-0.05417769018165,-0.0640515601351,0.011485719367318
31801.723701958,1581.7935858519,-46072.818462246,-0.055442100498025,-0.064047137113675,0.011595784357235
33908.254254214,-5666.5055419368,-38619.005847919,-0.05572894262145,-0.064975360047525,0.010863778188037
561.80046712441,268.32275058892,-190.29016005534,-0.082880055130175,-0.09344313443615,-0.041637457576325
1709.8933747838,777.43706258378,-291.76294673394,-0.07980538551955,-0.0884308183384,-0.03214628445665
574.13027246617,176.78892539279,-47.706637705528,-0.08923080241905,-0.09605137209445,-0.0422228053207
1447.9420901373,520.08610277246,-91.179569900688,-0.08215931798455,-0.08822665911955,-0.0387911304831
1551.6378282122,200.78578641932,-195.20092628008,-0.086156132808425,-0.086708928977775,-0.030231632201025
2151.1638109138,91.482021545734,34.220598057307,-0.096902780438475,-0.07922792207885,-0.042707941266975
1001.7373031479,220.89978204491,202.63342978194,-0.09321788740875,-0.091721245075525,-0.037513855669125
1299.1474246587,40.813912999026,-59.914401180633,-0.088510065273425,-0.086504769758925,-0.036876478227475
1127.3952940196,157.44723945265,-33.488027832717,-0.096902780438475,-0.087564608324,-0.042732076901325
2147.7627806117,279.40812711042,-76.003865584618,-0.09219495830315,-0.078168083513775,-0.03947587049485
643.45249660743,186.2889281756,-72.442269112238,-0.096315106970275,-0.095669872981075,-0.029876472098275
20757.58190945,-3430.9507165831,-29104.649656289,-0.05697769876435,-0.06407138923435,0.0092543772498625
24927.340835059,-5076.7674105585,-33714.698978623,-0.056443564543675,-0.0654706194515,0.0096559850908175
33356.714311887,273.96174046389,-19814.988508887,-0.0548702216157,-0.06727176343285,0.00834899845829
27707.697426155,-666.5855358449,-25186.37898421,-0.055375368290125,-0.06838285313675,0.008959071039235
31370.040536808,-1064.0001137753,-22691.553341003,-0.0553323164071,-0.065881333600675,0.0086668305426975
-148.49100770404,264.62193131629,703.95864482841,-0.042437676781575,-0.092323106135775,-0.09239616523705
104.93509080768,333.27477495379,444.00472503799,-0.037669806604275,-0.09640554784595,-0.088066038218125
103.01990908547,214.13898832141,875.12868028099,-0.03719747141375,-0.088188183631875,-0.09657359204445
122.56697939807,159.15745581616,516.34356536961,-0.03002356518455,-0.09640554784595,-0.092243465025525
87.232253047004,219.9709007023,574.31412875172,-0.02992960123645,-0.09227062534205,-0.09657359204445
4775.1586821245,127.11965652759,328.42140697129,-0.0902185430787,-0.0472915387068,-0.0466009392605
3991.5684305297,116.12073223966,397.28800793557,-0.08882047794325,-0.05267377880805,-0.048535408995175
3799.6554815383,172.38047292126,-97.641979452233,-0.09289191376705,-0.0573865883382,-0.0451922974209
2928.2455300654,161.99433487785,-82.497641345375,-0.08709159358555,-0.071075376611575,-0.04195316339845
3161.6720093112,215.03141472769,123.75074484795,-0.087556705108375,-0.06623937105365,-0.04586321464225
3891.8657317344,319.54576860298,-9.7292429385766,-0.08910531488915,-0.061879320638175,-0.04205083003975
425.26446836224,322.39562879572,1334.0887672455,-0.06089460453095,-0.074745314165675,-0.0943335643779
