electric_potential_0,x_0,x_1,x_2
0,-0.0815865337789,-0.0800388117445,-0.047906451604775
0,-0.0957572893875,-0.057661458274375,-0.057865101907275
0,-0.0916858535637,-0.052613264417925,-0.056245007154375
0,-0.096052892952925,-0.029929491054925,-0.09244547848485
0,-0.0920314678468,-0.048481449681075,-0.059025271017625
0,-0.08918682236975,-0.04452275948465,-0.05323988986405
0,-0.0961029036706,-0.04616345001555,-0.06268358214135
0,-0.097701042970225,-0.045641698607575,-0.074569754757925
0,-0.093803946640825,-0.0441895328189,-0.0697051341335
0,-0.097701042970225,-0.039523765438825,-0.078311247032975
0,-0.09325825819355,-0.042204759819125,-0.056898200987775
0,-0.049914111597025,-0.095917558289825,-0.0958225731926
0,-0.0604838733191,-0.089174703703725,-0.097263172226075
0,-0.0556239169965,-0.093652795487225,-0.093085745418675
0,-0.0537792001244,-0.088047843671525,-0.0901561375705
0,-0.058639156447,-0.083569751888025,-0.0943335643779
0,-0.054798033021075,-0.0898655225791,-0.083044235628475
0,-0.058571402400325,-0.085335996973925,-0.08174800688805
0,-0.079986195426,-0.060877768979025,-0.09712536130315
0,-0.056453320268175,-0.077958099911675,-0.097070392151825
0,-0.091722765934,-0.030023455003025,-0.09658040098875
0,-0.08712485187445,-0.03582565974475,-0.0937057622919
0,-0.08691532217,-0.0408968980722,-0.09712536130315
0,-0.07857863592485,-0.04087276243785,-0.09712536130315
0,-0.0967036999654,-0.0191507413162,-0.0875703911515
0,-0.0967036999654,-0.018694782994725,-0.079266021106
0,-0.0884264658994,-0.024268160267325,-0.092615841663075
0,-0.092756592918325,-0.024174196319225,-0.088480919159175
0,-0.0888751296025,-0.037652963972175,-0.070383565647675
0,-0.095071182961675,-0.028569982663525,-0.072340011249475
0,-0.091774882927075,-0.02318218336865,-0.07639816486015
0,-0.0927722259319,-0.03424329563545,-0.075195705478375
0,-0.08782777588,-0.02616159669315,-0.0812829358944
0,-0.088825118884825,-0.0321342460793,-0.079798819403475
0,-0.081235175810825,-0.02474497116985,-0.0818188667659
0,-0.081833865830225,-0.025257570795925,-0.089016850030675
0,-0.048579627085025,-0.074413478758825,-0.097070392151825
0,-0.07616727527285,-0.029497703611075,-0.089659014419125
0,-0.07556858525345,-0.028985103985,-0.08246103115435
0,-0.0737723820844,-0.036762907186825,-0.093802966365925
0,-0.078161961282475,-0.0343104978242,-0.090383367354675
0,-0.096902780438475,-0.075556747178925,-0.0501470119598
0,-0.09248879503725,-0.0726579179567,-0.050778690293675
0,-0.087780972901925,-0.07544274455895,-0.0452022421592
0,-0.0957572893875,-0.060800802808575,-0.050717381051875
0,-0.091343303986275,-0.066554064987725,-0.051413980524975
73804.267872425,-0.05426409055285,-0.0649688020516,0.00950755966994
147802.74437705,-0.054464532305075,-0.06497978306895,0.01075371319812
222024.66325061,-0.053882622667575,-0.0660680744135,0.011000063025125
223175.66125584,-0.05387413008925,-0.069396544464225,0.011043814900328
148536.22160013,-0.0545850449824,-0.068265851461125,0.010806982321695
223698.8061208,-0.054281610893775,-0.070520863103225,0.011505444604288
222534.69810475,-0.0542803400602,-0.067165742774575,0.01144306326893
221485.57123147,-0.05417769018165,-0.0640515601351,0.011485719367318
147681.30335904,-0.055442100498025,-0.064047137113675,0.011595784357235
73998.476504624,-0.05572894262145,-0.064975360047525,0.010863778188037
0,-0.082880055130175,-0.09344313443615,-0.041637457576325
0,-0.07980538551955,-0.0884308183384,-0.03214628445665
0,-0.08923080241905,-0.09605137209445,-0.0422228053207
0,-0.08215931798455,-0.08822665911955,-0.0387911304831
0,-0.086156132808425,-0.086708928977775,-0.030231632201025
0,-0.096902780438475,-0.07922792207885,-0.042707941266975
0,-0.09321788740875,-0.091721245075525,-0.037513855669125
0,-0.088510065273425,-0.086504769758925,-0.036876478227475
0,-0.096902780438475,-0.087564608324,-0.042732076901325
0,-0.09219495830315,-0.078168083513775,-0.03947587049485
0,-0.096315106970275,-0.095669872981075,-0.029876472098275
0,-0.05697769876435,-0.06407138923435,0.0092543772498625
0,-0.056443564543675,-0.0654706194515,0.0096559850908175
0,-0.0548702216157,-0.06727176343285,0.00834899845829
0,-0.055375368290125,-0.06838285313675,0.008959071039235
0,-0.0553323164071,-0.065881333600675,0.0086668305426975
0,-0.042437676781575,-0.092323106135775,-0.09239616523705
0,-0.037669806604275,-0.09640554784595,-0.088066038218125
0,-0.03719747141375,-0.088188183631875,-0.09657359204445
0,-0.03002356518455,-0.09640554784595,-0.092243465025525
0,-0.02992960123645,-0.09227062534205,-0.09657359204445
0,-0.0902185430787,-0.0472915387068,-0.0466009392605
